index,time_window,label,matched_eqs,total_eq,first_eq_time,fname,delta_t_hours
1534,2009-05-27 18:13:23.200,1,"[{'lat': 14.403, 'long': -92.303, 'Time': Timestamp('2009-05-28 00:23:43'), 'mag': 5.1}, {'lat': 16.731, 'long': -86.217, 'Time': Timestamp('2009-05-28 08:24:46'), 'mag': 7.3}, {'lat': 14.403, 'long': -92.303, 'Time': Timestamp('2009-05-28 00:23:43'), 'mag': 5.1}, {'lat': 16.731, 'long': -86.217, 'Time': Timestamp('2009-05-28 08:24:46'), 'mag': 7.3}, {'lat': 14.403, 'long': -92.303, 'Time': Timestamp('2009-05-28 00:23:43'), 'mag': 5.1}, {'lat': 16.731, 'long': -86.217, 'Time': Timestamp('2009-05-28 08:24:46'), 'mag': 7.3}]",6,2009-05-28 00:23:43,RDM_df_train_30D-22SW-tw24_w14.csv,6.172166666666667
1820,2009-07-29 10:32:19.769,1,"[{'lat': 39.588, 'long': 39.726, 'Time': Timestamp('2009-07-30 07:37:51'), 'mag': 5.0}, {'lat': -22.988, 'long': -13.568, 'Time': Timestamp('2009-07-30 08:34:42'), 'mag': 5.0}, {'lat': -22.988, 'long': -13.568, 'Time': Timestamp('2009-07-30 08:34:42'), 'mag': 5.0}, {'lat': -22.988, 'long': -13.568, 'Time': Timestamp('2009-07-30 08:34:42'), 'mag': 5.0}]",4,2009-07-30 07:37:51,RDM_df_train_30D-22SW-tw24_w14.csv,21.092008611111112
356,2008-09-11 00:06:53.717,1,"[{'lat': -22.881, 'long': 170.392, 'Time': Timestamp('2008-09-11 14:45:55'), 'mag': 5.0}, {'lat': -22.881, 'long': 170.392, 'Time': Timestamp('2008-09-11 14:45:55'), 'mag': 5.0}, {'lat': -22.881, 'long': 170.392, 'Time': Timestamp('2008-09-11 14:45:55'), 'mag': 5.0}]",3,2008-09-11 14:45:55,RDM_df_train_30D-22SW-tw24_w14.csv,14.65035638888889
4,2008-07-21 00:43:20.534,1,"[{'lat': -11.048, 'long': 164.586, 'Time': Timestamp('2008-07-21 15:47:51'), 'mag': 5.1}, {'lat': -11.048, 'long': 164.586, 'Time': Timestamp('2008-07-21 15:47:51'), 'mag': 5.1}, {'lat': -11.048, 'long': 164.586, 'Time': Timestamp('2008-07-21 15:47:51'), 'mag': 5.1}, {'lat': 37.816, 'long': 142.559, 'Time': Timestamp('2008-07-21 09:01:04'), 'mag': 5.0}, {'lat': 37.186, 'long': 142.051, 'Time': Timestamp('2008-07-21 11:30:29'), 'mag': 6.0}, {'lat': 37.816, 'long': 142.559, 'Time': Timestamp('2008-07-21 09:01:04'), 'mag': 5.0}, {'lat': 37.186, 'long': 142.051, 'Time': Timestamp('2008-07-21 11:30:29'), 'mag': 6.0}]",7,2008-07-21 15:47:51,RDM_df_train_30D-22SW-tw24_w14.csv,15.075129444444444
209,2008-08-26 06:11:55.776,1,"[{'lat': 51.607, 'long': 104.158, 'Time': Timestamp('2008-08-27 01:35:32'), 'mag': 6.3}, {'lat': 51.607, 'long': 104.158, 'Time': Timestamp('2008-08-27 01:35:32'), 'mag': 6.3}, {'lat': 51.607, 'long': 104.158, 'Time': Timestamp('2008-08-27 01:35:32'), 'mag': 6.3}, {'lat': 30.659, 'long': 83.284, 'Time': Timestamp('2008-08-26 23:54:23'), 'mag': 5.0}, {'lat': 30.659, 'long': 83.284, 'Time': Timestamp('2008-08-26 23:54:23'), 'mag': 5.0}, {'lat': 30.659, 'long': 83.284, 'Time': Timestamp('2008-08-26 23:54:23'), 'mag': 5.0}]",6,2008-08-27 01:35:32,RDM_df_train_30D-22SW-tw24_w14.csv,19.393395555555557
1743,2009-06-10 20:53:53.385,1,"[{'lat': -24.195, 'long': -176.87, 'Time': Timestamp('2009-06-11 03:37:52'), 'mag': 5.5}]",1,2009-06-11 03:37:52,RDM_df_train_30D-22SW-tw24_w14.csv,6.732948611111111
941,2009-02-05 20:46:23.570,1,"[{'lat': -57.25, 'long': -143.25, 'Time': Timestamp('2009-02-06 19:37:28'), 'mag': 5.2}, {'lat': -57.25, 'long': -143.25, 'Time': Timestamp('2009-02-06 19:37:28'), 'mag': 5.2}, {'lat': -57.25, 'long': -143.25, 'Time': Timestamp('2009-02-06 19:37:28'), 'mag': 5.2}, {'lat': -27.393, 'long': -176.447, 'Time': Timestamp('2009-02-05 23:14:36'), 'mag': 5.1}]",4,2009-02-06 19:37:28,RDM_df_train_30D-22SW-tw24_w14.csv,22.851230555555553
925,2009-01-31 14:23:52.982,1,"[{'lat': -22.88, 'long': -70.271, 'Time': Timestamp('2009-01-31 14:40:14'), 'mag': 5.1}, {'lat': -19.41, 'long': -69.065, 'Time': Timestamp('2009-01-31 16:29:36'), 'mag': 5.5}, {'lat': -22.88, 'long': -70.271, 'Time': Timestamp('2009-01-31 14:40:14'), 'mag': 5.1}, {'lat': -19.41, 'long': -69.065, 'Time': Timestamp('2009-01-31 16:29:36'), 'mag': 5.5}, {'lat': -22.88, 'long': -70.271, 'Time': Timestamp('2009-01-31 14:40:14'), 'mag': 5.1}, {'lat': -19.41, 'long': -69.065, 'Time': Timestamp('2009-01-31 16:29:36'), 'mag': 5.5}]",6,2009-01-31 14:40:14,RDM_df_train_30D-22SW-tw24_w14.csv,0.272505
1238,2009-04-03 01:24:22.027,1,"[{'lat': -8.01, 'long': 130.229, 'Time': Timestamp('2009-04-03 13:37:58'), 'mag': 5.6}, {'lat': -8.01, 'long': 130.229, 'Time': Timestamp('2009-04-03 13:37:58'), 'mag': 5.6}, {'lat': -8.01, 'long': 130.229, 'Time': Timestamp('2009-04-03 13:37:58'), 'mag': 5.6}]",3,2009-04-03 13:37:58,RDM_df_train_30D-22SW-tw24_w14.csv,12.226659166666666
677,2008-12-04 00:29:17.875,1,"[{'lat': 38.567, 'long': 142.89, 'Time': Timestamp('2008-12-04 03:10:55'), 'mag': 5.3}]",1,2008-12-04 03:10:55,RDM_df_train_30D-22SW-tw24_w14.csv,2.6936458333333335
