index,time_window,label,matched_eqs,total_eq,random_offset_days
0,2006-04-25 02:18:54.599,1,"[{'lat': 61.038, 'long': 166.527, 'Time': Timestamp('2006-04-26 16:36:59'), 'mag': 5.0}]",1,24
1,2006-04-10 07:14:22.693,0,[],0,9
2,2006-04-29 10:30:20.418,0,[],0,28
3,2006-04-20 13:49:22.158,0,[],0,19
4,2006-04-20 17:06:20.304,0,[],0,19
5,2006-04-30 20:20:52.265,1,"[{'lat': 30.199, 'long': -114.332, 'Time': Timestamp('2006-05-01 21:04:42'), 'mag': 5.1}]",1,29
6,2006-04-30 23:34:52.318,1,"[{'lat': -28.458, 'long': -176.852, 'Time': Timestamp('2006-05-01 02:24:41'), 'mag': 5.7}, {'lat': -28.257, 'long': -176.904, 'Time': Timestamp('2006-05-01 02:25:41'), 'mag': 5.7}, {'lat': -28.295, 'long': -176.706, 'Time': Timestamp('2006-05-01 02:41:12'), 'mag': 5.2}, {'lat': -28.362, 'long': -176.824, 'Time': Timestamp('2006-05-01 21:40:46'), 'mag': 5.2}, {'lat': -28.318, 'long': -176.737, 'Time': Timestamp('2006-05-01 21:57:45'), 'mag': 5.1}]",5,29
7,2006-04-10 07:44:53.422,0,[],0,8
8,2006-04-14 11:01:22.148,0,[],0,12
9,2006-04-23 14:20:16.655,0,[],0,21
10,2006-04-22 17:36:52.144,0,[],0,20
11,2006-04-25 20:51:20.859,0,[],0,23
12,2006-04-29 08:15:50.387,0,[],0,26
13,2006-04-17 11:32:50.005,0,[],0,14
14,2006-05-01 14:51:18.832,1,"[{'lat': -27.45, 'long': -71.212, 'Time': Timestamp('2006-05-02 04:11:19'), 'mag': 5.2}, {'lat': -27.509, 'long': -71.23, 'Time': Timestamp('2006-05-02 13:42:39'), 'mag': 5.3}, {'lat': -27.442, 'long': -71.683, 'Time': Timestamp('2006-05-02 13:58:27'), 'mag': 5.2}]",3,28
15,2006-04-14 18:07:23.014,0,[],0,11
16,2006-04-11 21:21:15.724,0,[],0,8
17,2006-05-04 00:35:18.214,0,[],0,30
18,2006-04-13 07:08:27.071,0,[],0,9
19,2006-04-18 10:24:20.595,0,[],0,14
20,2006-04-24 13:43:22.335,0,[],0,20
21,2006-04-13 17:00:24.577,0,[],0,9
22,2006-04-20 20:14:52.442,0,[],0,16
23,2006-04-26 01:05:50.055,0,[],0,21
24,2006-04-23 07:39:00.352,0,[],0,18
25,2006-05-04 10:55:18.265,0,[],0,29
26,2006-04-27 14:14:25.061,0,[],0,22
27,2006-04-14 17:30:52.358,0,[],0,9
28,2006-05-02 20:44:48.304,0,[],0,27
29,2006-04-20 06:31:21.678,0,[],0,14
30,2006-04-17 09:46:47.752,0,[],0,11
31,2006-05-05 13:06:22.148,0,[],0,29
32,2006-04-25 16:23:51.621,0,[],0,19
33,2006-05-03 19:38:21.015,0,[],0,27
34,2006-05-02 22:52:22.307,1,"[{'lat': -17.96, 'long': 168.501, 'Time': Timestamp('2006-05-03 07:40:27'), 'mag': 5.4}]",1,26
35,2006-04-16 08:38:52.658,0,[],0,9
36,2006-04-22 11:57:52.521,0,[],0,15
37,2006-04-21 15:15:51.549,0,[],0,14
38,2006-04-21 18:31:52.629,0,[],0,14
39,2006-04-26 07:32:52.374,0,[],0,18
40,2006-04-29 10:48:52.539,0,[],0,21
41,2006-05-02 14:08:22.950,0,[],0,24
42,2006-05-05 17:24:51.095,0,[],0,27
43,2006-04-16 20:38:55.345,0,[],0,8
44,2006-05-05 23:52:52.109,1,"[{'lat': -24.977, 'long': 179.675, 'Time': Timestamp('2006-05-06 02:29:31'), 'mag': 5.6}]",1,27
45,2006-04-17 08:03:19.665,0,[],0,8
46,2006-04-28 21:09:24.746,0,[],0,19
47,2006-04-16 00:23:22.701,0,[],0,6
48,2006-05-05 05:17:54.779,0,[],0,25
49,2006-04-25 08:34:18.850,0,[],0,15
50,2006-04-27 11:51:22.698,0,[],0,17
51,2006-04-23 15:09:47.630,0,[],0,13
52,2006-04-18 18:25:52.806,0,[],0,8
53,2006-04-26 23:16:22.885,0,[],0,16
