index,time_window,label,matched_eqs,total_eq
0,2009-01-01 10:42:50.579,0,[],0
1,2009-01-01 14:01:53.535,0,[],0
2,2009-01-01 17:17:53.589,0,[],0
3,2009-01-01 20:32:23.642,0,[],0
4,2009-01-01 23:45:53.695,0,[],0
5,2009-01-02 07:56:50.693,0,[],0
6,2009-01-02 11:13:23.883,0,[],0
7,2009-01-02 14:31:53.792,0,[],0
8,2009-01-02 17:47:53.990,0,[],0
9,2009-01-02 21:01:54.043,0,[],0
10,2009-01-03 00:15:49.190,0,[],0
11,2009-01-03 05:10:32.105,0,[],0
12,2009-01-03 08:26:55.752,0,[],0
13,2009-01-03 11:43:53.283,0,[],0
14,2009-01-03 15:02:25.079,0,[],0
15,2009-01-03 18:17:53.391,1,"[{'lat': -58.331, 'long': -139.855, 'Time': Timestamp('2009-01-04 17:46:34'), 'mag': 5.2}]",1
16,2009-01-03 21:31:23.444,0,[],0
17,2009-01-04 00:45:22.359,0,[],0
18,2009-01-04 07:18:21.796,0,[],0
19,2009-01-04 10:34:50.756,0,[],0
20,2009-01-04 13:53:54.672,0,[],0
21,2009-01-04 23:38:23.871,0,[],0
22,2009-01-05 07:48:50.869,0,[],0
23,2009-01-05 11:05:24.059,0,[],0
24,2009-01-05 14:23:52.982,0,[],0
25,2009-01-05 17:40:23.292,0,[],0
26,2009-01-05 20:53:53.345,0,[],0
27,2009-01-06 00:07:53.397,0,[],0
28,2009-01-06 08:18:57.371,0,[],0
29,2009-01-06 11:35:53.585,0,[],0
30,2009-01-06 14:54:22.612,0,[],0
31,2009-01-06 18:09:53.692,0,[],0
32,2009-01-07 07:10:57.198,0,[],0
33,2009-01-07 10:26:51.106,0,[],0
34,2009-01-07 13:45:54.063,0,[],0
35,2009-01-07 23:30:23.222,0,[],0
36,2009-01-08 07:40:47.452,0,[],0
37,2009-01-08 10:57:36.891,0,[],0
38,2009-01-08 14:16:17.672,0,[],0
39,2009-01-08 17:32:23.517,0,[],0
40,2009-01-08 20:46:23.570,0,[],0
41,2009-01-09 00:00:23.623,0,[],0
42,2009-01-09 08:09:20.509,0,[],0
43,2009-01-09 11:27:53.810,0,[],0
44,2009-01-09 14:46:20.071,1,"[{'lat': -23.039, 'long': -70.805, 'Time': Timestamp('2009-01-09 22:43:30'), 'mag': 5.0}]",1
45,2009-01-09 18:02:23.918,0,[],0
46,2009-01-10 02:07:21.584,1,"[{'lat': 13.496, 'long': 120.823, 'Time': Timestamp('2009-01-12 02:00:48'), 'mag': 5.2}]",1
47,2009-01-10 07:02:56.424,0,[],0
48,2009-01-10 10:18:54.379,0,[],0
49,2009-01-10 13:37:53.238,0,[],0
50,2009-01-10 16:54:53.293,0,[],0
51,2009-01-10 20:08:53.346,0,[],0
52,2009-01-10 23:22:52.808,0,[],0
53,2009-01-11 07:32:50.285,0,[],0
54,2009-01-11 10:49:19.010,0,[],0
55,2009-01-11 14:08:17.848,0,[],0
56,2009-01-11 23:52:23.799,0,[],0
57,2009-01-12 04:47:02.808,0,[],0
58,2009-01-12 08:03:16.702,0,[],0
59,2009-01-12 11:19:53.987,0,[],0
60,2009-01-12 14:38:52.679,1,"[{'lat': -29.549, 'long': -71.224, 'Time': Timestamp('2009-01-13 17:17:13'), 'mag': 5.1}]",1
61,2009-01-12 17:54:23.095,0,[],0
62,2009-01-12 21:08:23.147,0,[],0
63,2009-01-13 00:22:17.966,1,"[{'lat': 52.267, 'long': 159.294, 'Time': Timestamp('2009-01-14 05:14:23'), 'mag': 5.4}]",1
64,2009-01-13 05:16:55.692,0,[],0
65,2009-01-13 08:33:24.529,0,[],0
66,2009-01-13 11:50:53.388,0,[],0
67,2009-01-13 15:08:52.527,0,[],0
68,2009-01-13 18:24:23.495,0,[],0
69,2009-01-14 07:24:55.997,0,[],0
70,2009-01-14 10:41:25.133,0,[],0
71,2009-01-14 14:00:23.993,0,[],0
72,2009-01-14 23:44:53.153,0,[],0
73,2009-01-15 09:32:16.315,0,[],0
74,2009-01-15 12:51:53.367,0,[],0
75,2009-01-15 16:08:53.421,0,[],0
76,2009-01-15 19:23:53.474,0,[],0
77,2009-01-15 22:37:23.526,1,"[{'lat': -15.064, 'long': 167.991, 'Time': Timestamp('2009-01-16 06:47:56'), 'mag': 5.0}, {'lat': -22.282, 'long': 170.441, 'Time': Timestamp('2009-01-16 19:11:01'), 'mag': 5.3}, {'lat': -22.304, 'long': 170.274, 'Time': Timestamp('2009-01-16 19:55:22'), 'mag': 5.8}, {'lat': -22.288, 'long': 170.378, 'Time': Timestamp('2009-01-16 20:05:22'), 'mag': 5.3}, {'lat': -22.496, 'long': 170.42, 'Time': Timestamp('2009-01-16 23:02:59'), 'mag': 5.1}]",5
78,2009-01-16 01:51:51.113,0,[],0
79,2009-01-16 06:46:54.632,0,[],0
80,2009-01-16 10:02:52.140,0,[],0
81,2009-01-16 13:21:53.768,0,[],0
82,2009-01-16 16:38:53.821,1,"[{'lat': 15.739, 'long': -92.744, 'Time': Timestamp('2009-01-17 02:57:31'), 'mag': 5.8}]",1
83,2009-01-16 19:53:23.874,0,[],0
84,2009-01-16 23:06:53.928,1,"[{'lat': -30.199, 'long': -177.951, 'Time': Timestamp('2009-01-18 14:11:48'), 'mag': 6.4}, {'lat': 51.212, 'long': 178.93, 'Time': Timestamp('2009-01-17 12:07:33'), 'mag': 5.1}]",2
85,2009-01-17 07:17:22.254,0,[],0
86,2009-01-17 10:33:16.664,1,"[{'lat': -39.25, 'long': -15.25, 'Time': Timestamp('2009-01-19 08:59:28'), 'mag': 5.0}, {'lat': -38.945, 'long': -15.764, 'Time': Timestamp('2009-01-19 09:11:33'), 'mag': 5.1}, {'lat': -38.794, 'long': -15.88, 'Time': Timestamp('2009-01-19 09:19:06'), 'mag': 5.1}, {'lat': -38.958, 'long': -15.705, 'Time': Timestamp('2009-01-19 10:27:12'), 'mag': 5.4}]",4
